PORT_ID,TERMINAL_ID,IS_BALLAST,VESSEL_TYPE_ID,MONTH_NO,median_days_in_port,n_obs,specificity_score,level
101749.0,,0.0,1038665.0,,0.25,6,11,1
102146.0,,0.0,1038665.0,,0.5,6,11,1
103154.0,,0.0,1038665.0,,0.25,6,11,1
104131.0,,1.0,1039859.0,,0.25,6,11,1
104658.0,,1.0,1039859.0,,0.25,6,11,1
104698.0,,1.0,1039859.0,,4.841666666666667,6,11,1
106681.0,,1.0,1038665.0,,2.5,6,11,1
108623.0,,1.0,1039859.0,,0.25,6,11,1
100195.0,,0.0,1039859.0,,2.4722222222222223,5,11,1
100955.0,,1.0,1038665.0,,0.25,5,11,1
101095.0,,0.0,1039859.0,,0.25,5,11,1
101137.0,,1.0,1038665.0,,1.2506944444444446,5,11,1
101690.0,,0.0,1038665.0,,2.0,5,11,1
101690.0,,1.0,1039859.0,,1.0,5,11,1
101705.0,,1.0,1038665.0,,0.25,5,11,1
102351.0,,0.0,1038665.0,,1.0,5,11,1
102886.0,,0.0,1038665.0,,0.25,5,11,1
103370.0,,0.0,1038665.0,,2.5,5,11,1
103578.0,,1.0,1039859.0,,6.754479166666667,5,11,1
104130.0,,1.0,1038665.0,,2.0,5,11,1
104424.0,,1.0,1039859.0,,6.916666666666667,5,11,1
101371.0,,0.0,1038665.0,,0.25,4,11,1
101545.0,,0.0,1039859.0,,0.75,4,11,1
101690.0,,1.0,1038665.0,,1.0,4,11,1
103707.0,,1.0,1039859.0,,0.25,4,11,1
103905.0,,1.0,1039859.0,,2.75,4,11,1
104645.0,,1.0,1039859.0,,0.25,4,11,1
103281.0,,1.0,1039859.0,,0.25,3,11,1
103378.0,,0.0,1038665.0,,2.0,3,11,1
103681.0,,0.0,1038665.0,,2.0,3,11,1
103029.0,,1.0,,,1.125,66,10,3
101122.0,,0.0,,,2.0,64,10,4
104526.0,,1.0,,,2.0,46,10,3
100469.0,,0.0,,,0.5,45,10,3
103029.0,,0.0,,,0.25,43,10,3
101967.0,,0.0,,,2.0,29,10,3
104526.0,,0.0,,,0.5,28,10,3
100682.0,,1.0,,,5.011901452546296,26,10,3
100817.0,,0.0,,,0.25,25,10,4
102955.0,,0.0,,,3.4166666666666665,24,10,3
101435.0,,0.0,,,0.5,23,10,3
100963.0,,0.0,,,1.0,21,10,3
102825.0,,1.0,,,3.0,19,10,3
103378.0,,1.0,,,0.5,19,10,3
104131.0,,1.0,,,2.25,19,10,3
103527.0,,0.0,,,2.0,17,10,3
101690.0,,1.0,,,1.0,15,10,3
100195.0,,0.0,,,3.5695833333333336,13,10,3
102146.0,,0.0,,,0.5,13,10,3
106354.0,,0.0,,,0.5,13,10,3
100265.0,,0.0,,,0.5,12,10,3
101690.0,,0.0,,,1.0,12,10,3
104146.0,,1.0,,,0.25,11,10,3
110107.0,,1.0,,,0.25,11,10,3
100343.0,,0.0,,,0.5,10,10,3
101962.0,,0.0,,,0.25,10,10,3
103707.0,,1.0,,,0.25,10,10,4
101677.0,,1.0,,,4.773819444444444,9,10,3
102517.0,,1.0,,,2.25,9,10,3
102567.0,,0.0,,,0.5,9,10,3
103963.0,,0.0,,,1.0,9,10,3
100694.0,,0.0,,,0.25,8,10,3
101506.0,,0.0,,,4.25,8,10,3
102355.0,,0.0,,,1.2496643518518518,8,10,3
102379.0,,0.0,,,0.25,8,10,3
103274.0,,0.0,,,1.3333333333333333,8,10,3
104130.0,,1.0,,,2.0,8,10,3
104559.0,,1.0,,,1.25,8,10,3
104284.0,,0.0,,,1.25,8,10,4
104131.0,,0.0,,,0.5,7,10,1
101014.0,,0.0,,,2.25,7,10,3
101122.0,,1.0,,,0.25,7,10,3
101799.0,,0.0,,,2.25,7,10,3
103315.0,,1.0,,,2.0,7,10,4
101266.0,,1.0,,,6.522789351851852,6,10,1
101651.0,,0.0,,,2.0,6,10,1
102036.0,,0.0,,,4.0,6,10,1
101040.0,,1.0,,,8.583333333333334,6,10,3
101110.0,,0.0,,,0.25,6,10,3
101234.0,,0.0,,,2.25,6,10,3
101278.0,,1.0,,,3.0,6,10,3
101379.0,,0.0,,,2.5,6,10,3
101390.0,,0.0,,,2.5,6,10,3
101749.0,,0.0,,,0.25,6,10,3
103154.0,,0.0,,,0.25,6,10,3
104658.0,,1.0,,,0.25,6,10,3
104698.0,,1.0,,,4.841666666666667,6,10,3
106681.0,,1.0,,,2.5,6,10,3
108623.0,,1.0,,,0.25,6,10,3
100269.0,,0.0,,,3.3333333333333335,5,10,1
103287.0,,0.0,,,1.851851851851852,5,10,1
100955.0,,1.0,,,0.25,5,10,3
101095.0,,0.0,,,0.25,5,10,3
101137.0,,1.0,,,1.2506944444444446,5,10,3
101705.0,,1.0,,,0.25,5,10,3
102351.0,,0.0,,,1.0,5,10,3
102886.0,,0.0,,,0.25,5,10,3
103281.0,,1.0,,,2.0,5,10,3
103370.0,,0.0,,,2.5,5,10,3
103578.0,,1.0,,,6.754479166666667,5,10,3
104424.0,,1.0,,,6.916666666666667,5,10,3
104040.0,,0.0,,,4.0,5,10,4
101371.0,,0.0,,,0.25,4,10,3
101545.0,,0.0,,,0.75,4,10,3
103905.0,,1.0,,,2.75,4,10,3
104645.0,,1.0,,,0.25,4,10,3
102035.0,,0.0,,,0.25,4,10,4
100551.0,,1.0,,,2.75,3,10,1
103011.0,,1.0,,,1.0,3,10,1
103459.0,,0.0,,,2.75,3,10,1
103514.0,,0.0,,,0.25,3,10,1
100071.0,,0.0,,,0.25,3,10,3
101770.0,,0.0,,,0.25,3,10,3
103378.0,,0.0,,,2.0,3,10,3
103681.0,,0.0,,,2.0,3,10,3
104420.0,,1.0,,,0.25,3,10,3
103029.0,,,,,0.25,109,8,5
104526.0,,,,,2.0,74,8,5
101122.0,,,,,1.9166666666666667,71,8,5
100469.0,,,,,0.5,45,8,5
101967.0,,,,,2.0,29,8,5
100817.0,,,,,0.25,27,8,5
101690.0,,,,,1.0,27,8,5
100682.0,,,,,5.011901452546296,26,8,5
104131.0,,,,,1.0,26,8,5
102955.0,,,,,3.4166666666666665,25,8,5
100963.0,,,,,1.0,23,8,5
101435.0,,,,,0.5,23,8,5
103378.0,,,,,0.5,22,8,5
102825.0,,,,,3.0,19,8,5
103527.0,,,,,2.0,18,8,5
106354.0,,,,,0.5,14,8,5
100195.0,,,,,3.5695833333333336,13,8,5
100265.0,,,,,0.5,13,8,5
102146.0,,,,,0.5,13,8,5
104146.0,,,,,0.25,11,8,5
110107.0,,,,,0.25,11,8,5
100343.0,,,,,0.5,10,8,5
101962.0,,,,,0.25,10,8,5
102379.0,,,,,0.8340277777777778,10,8,5
103707.0,,,,,0.25,10,8,5
101677.0,,,,,4.773819444444444,9,8,5
102517.0,,,,,2.25,9,8,5
102567.0,,,,,0.5,9,8,5
103963.0,,,,,1.0,9,8,5
100694.0,,,,,0.25,8,8,5
101506.0,,,,,4.25,8,8,5
102355.0,,,,,1.2496643518518518,8,8,5
103274.0,,,,,1.3333333333333333,8,8,5
104130.0,,,,,2.0,8,8,5
104284.0,,,,,1.25,8,8,5
104559.0,,,,,1.25,8,8,5
101014.0,,,,,2.25,7,8,5
101799.0,,,,,2.25,7,8,5
103315.0,,,,,2.0,7,8,5
108623.0,,,,,0.25,7,8,5
101040.0,,,,,8.583333333333334,6,8,5
101110.0,,,,,0.25,6,8,5
101234.0,,,,,2.25,6,8,5
101266.0,,,,,6.522789351851852,6,8,5
101278.0,,,,,3.0,6,8,5
101379.0,,,,,2.5,6,8,5
101390.0,,,,,2.5,6,8,5
101651.0,,,,,2.0,6,8,5
101749.0,,,,,0.25,6,8,5
102036.0,,,,,4.0,6,8,5
103154.0,,,,,0.25,6,8,5
104658.0,,,,,0.25,6,8,5
104698.0,,,,,4.841666666666667,6,8,5
106681.0,,,,,2.5,6,8,5
100269.0,,,,,3.3333333333333335,5,8,5
100955.0,,,,,0.25,5,8,5
101095.0,,,,,0.25,5,8,5
101137.0,,,,,1.2506944444444446,5,8,5
101705.0,,,,,0.25,5,8,5
102351.0,,,,,1.0,5,8,5
102886.0,,,,,0.25,5,8,5
103281.0,,,,,2.0,5,8,5
103287.0,,,,,1.851851851851852,5,8,5
103370.0,,,,,2.5,5,8,5
103578.0,,,,,6.754479166666667,5,8,5
104040.0,,,,,4.0,5,8,5
104420.0,,,,,0.25,5,8,5
104424.0,,,,,6.916666666666667,5,8,5
101371.0,,,,,0.25,4,8,5
101545.0,,,,,0.75,4,8,5
102035.0,,,,,0.25,4,8,5
103011.0,,,,,1.0,4,8,5
103514.0,,,,,0.25,4,8,5
103905.0,,,,,2.75,4,8,5
104417.0,,,,,0.25,4,8,5
104645.0,,,,,0.25,4,8,5
100071.0,,,,,0.25,3,8,5
100551.0,,,,,2.75,3,8,5
101770.0,,,,,0.25,3,8,5
103459.0,,,,,2.75,3,8,5
103681.0,,,,,2.0,3,8,5
104109.0,,,,,0.5,3,8,5
104418.0,,,,,0.25,3,8,5
104419.0,,,,,0.25,3,8,5
,,,,,1.25,1079,0,6
