"VOYAGE_ID","VESSEL_ID","VOYAGE_STATUS","ESTIMATED_VOYAGE_START_DATE","HAS_CANAL_PASSAGE","IS_BALLAST","CANAL_COST","MILES_DIRECT","MILES_BALLAST","MILES_LOADED","DAYS_TOTAL_AT_SEA","DAYS_TOTAL_IN_PORT","DAYS_BALLAST","DAYS_LOADED","DAYS_WAITING","ORIGIN_PORT_ID","DEST_PORT_ID","RP_BALLAST_ID","RP_LOADED_ID","TERMINAL_ID","LAYCAN_START_UTC","LAYCAN_END_UTC","FREIGHT","GROSS_FREIGHT","NET_FREIGHT","FREIGHT_COST","PORT_COST","HANDLING_COST","VOYAGE_CANAL_COST","FO_COST","DO_COST","VARIOUS_COST","VARIOUS_REVENUE","RUNNING_COST","RUNNING_COST_PER_DAY"
1760058,1041021,"P",15-APR-25,0,0,0,,0,5337.39482789429,17.96238644002886,0,0,17.96238644002886,14.752,100269,,,,,30-APR-25,01-MAY-25,1650000,1650000,1588125,0,105000,0,0,0,0,0,0,0,0
1796744,1041237,"T",07-SEP-23,0,0,0,,0,2360.017113304478,8.260059896565672,0,0,8.260059896565672,14.5,104424,,,,,14-JUL-25,15-JUL-25,1252894.5,1253394.5,1237733.31875,0,130000,0,0,0,0,2000,500,0,0
1810449,1038877,"T",25-APR-25,0,0,0,,1383.2568898395868,9308.607248369126,38.093902504545255,0,6.003335536945758,32.0905669675995,0,102819,,,,,06-APR-25,06-JUN-25,4167274.5,4196105.5,4039832.70625,0,500000,0,0,0,0,48831,28831,0,0
1811156,1651778,"T",30-JUN-25,0,0,0,,534.165739004431,386.9141061970566,3.2237794582052066,0,1.8695800865155086,1.354199371689698,0,101122,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1833237,1832345,"T",08-JUL-25,0,0,0,,1366.366115095258,3421.150584554204,16.11183504689723,0,4.598347502724426,11.513487544172804,0,102955,,,,,,,650000,650000,625625,0,120000,0,0,0,0,20000,0,0,0
1834182,1041179,"T",15-APR-25,0,0,0,,3421.1505845542038,7182.868419817642,37.38596450406606,0,12.061748855800078,25.32421564826598,0,101967,,,,,,,949494.3713641167,949494.3713641167,914138.3324379623,0,45000,0,0,0,0,15000,0,0,0
1840822,1041237,"A",26-JUL-25,0,1,0,,5289.917325708312,2360.017113304478,27.712883479877227,0,19.452823583311556,8.260059896565672,0,104424,,,,,14-JUL-25,15-JUL-25,1252894.5,1303152.2,1287491.01875,0,150000,0,0,0,0,40000,50257.7,0,0
1853361,1041237,"T",26-JUL-25,0,0,0,,110.68956055069805,4104.497449995643,50.387413461927444,0,0.3874134619274432,50,0,102355,,,,,,,1650000,1650000,1650000,0,0,0,0,0,0,0,0,0,0
1853953,1041179,"T",15-APR-25,0,0,0,,3421.1505845542038,3421.150584554204,24.12349771160016,0,12.061748855800078,12.06174885580008,0,101967,,,,,16-MAR-25,18-MAR-25,961260,961260,925212.75,0,115000,0,0,0,0,20000,0,0,0
1854438,1041179,"A",15-APR-25,0,0,0,,162.4593928693369,3525.173366727759,13.001269581888653,0,0.5727735525711856,12.428496029317468,0,104559,,,,,16-MAR-25,18-MAR-25,961260,971260,935212.75,0,115000,0,0,0,0,10000,10000,0,0
1857423,1041237,"P",26-JUL-25,0,0,0,,0,2360.017113304478,8.260059896565672,0,0,8.260059896565672,4.333,104424,,,,,14-JUL-25,15-JUL-25,1252894.5,1292894.5,1277233.31875,0,130000,0,0,0,0,40000,40000,0,0
1857909,1041237,"T",26-JUL-25,0,1,0,,5046.758507445036,8929.480931094313,62.663654776057626,0,17.663654776057626,45,0,102355,,,,,,,2565000,2565000,2532937.5,0,0,0,0,0,0,0,0,0,0
1858994,1041179,"P",15-APR-25,0,0,0,,3421.1505845542038,3421.150584554204,24.12349771160016,0,12.061748855800078,12.06174885580008,0,101967,,,,,16-MAR-25,18-MAR-25,961260,961260,925212.75,0,115000,0,0,0,0,20000,0,0,0
1866091,1041990,"T",17-JUL-25,0,0,0,,1596.847225770396,2998.7155569905217,16.084469739663213,0,5.588965290196387,10.495504449466827,0,101082,,,,,11-AUG-25,12-AUG-25,1461915,1461915,1443641.0625,0,200000,0,0,0,0,0,0,0,0
