PORT_ID,TERMINAL_ID,IS_BALLAST,n_obs,median_days_in_port,p10_days_in_port,p90_days_in_port
104658,,1,6,0.25,0.25,0.25
103154,,0,6,0.25,0.25,0.25
101234,,0,6,2.25,2.25,2.25
101379,,0,6,2.5,2.5,2.5
103287,,0,5,1.851851851851852,1.851851851851852,1.851851851851852
103370,,0,5,2.5,2.5,2.5
103281,,1,5,2.0,0.25,2.25
100269,,0,5,3.3333333333333335,3.3333333333333335,3.3333333333333335
102886,,0,5,0.25,0.25,0.25
103578,,1,5,6.754479166666667,6.754479166666667,6.754479166666667
102351,,0,5,1.0,1.0,1.0
100955,,1,5,0.25,0.25,0.25
104424,,1,5,6.916666666666667,6.916666666666667,6.916666666666667
101705,,1,5,0.25,0.25,0.25
101095,,0,5,0.25,0.25,0.25
104040,960119.0,0,5,4.0,4.0,4.0
101137,,1,5,1.2506944444444446,1.2506944444444446,1.2506944444444446
104645,,1,4,0.25,0.25,0.25
103905,,1,4,2.75,0.25,5.25
101545,,0,4,0.75,0.25,1.25
101371,,0,4,0.25,0.25,0.25
103459,,0,3,2.75,2.75,2.75
103514,,0,3,0.25,0.25,0.25
103378,,0,3,2.0,2.0,2.0
103681,,0,3,2.0,2.0,2.0
104420,,1,3,0.25,0.25,0.25
100071,,0,3,0.25,0.25,0.25
103011,,1,3,1.0,1.0,1.0
100551,,1,3,2.75,2.75,2.75
102035,,0,3,0.25,0.25,0.25
100817,,1,3,0.25,0.25,1.85
101770,,0,3,0.25,0.25,0.25
104418,,0,2,0.25,0.25,0.25
104078,,0,2,0.25,0.25,0.25
104109,,0,2,0.5,0.5,0.5
101059,,0,2,0.25,0.25,0.25
104360,,1,2,0.25,0.25,0.25
104417,,0,2,0.25,0.25,0.25
104417,,1,2,0.25,0.25,0.25
100963,,1,2,1.0,1.0,1.0
104420,,0,2,0.25,0.25,0.25
104441,,0,2,2.2494444444444444,2.2494444444444444,2.2494444444444444
100744,907609.0,0,2,2.25,2.25,2.25
105591,,1,2,1.5,1.5,1.5
108424,,1,2,2.25,2.25,2.25
100385,915460.0,0,2,2.25,2.25,2.25
110855,,1,2,0.25,0.25,0.25
103742,,1,2,0.2911574074074074,0.2911574074074074,0.2911574074074074
110876,,0,2,0.25,0.25,0.25
102513,,0,2,0.25,0.25,0.25
103670,,0,2,2.25,2.25,2.25
102379,,1,2,1.4180555555555556,1.4180555555555556,1.4180555555555556
103347,955845.0,1,1,3.5833333333333335,3.5833333333333335,3.5833333333333335
100611,,0,1,0.25,0.25,0.25
100651,,0,1,5.805555555555555,5.805555555555555,5.805555555555555
102813,,0,1,0.2,0.2,0.2
100817,913253.0,0,1,1.9994212962962965,1.9994212962962965,1.9994212962962965
104546,,0,1,0.25,0.25,0.25
104493,,1,1,0.5,0.5,0.5
100946,,0,1,3.861111111111111,3.861111111111111,3.861111111111111
105590,,1,1,3.0458333217592592,3.0458333217592592,3.0458333217592592
102742,,0,1,0.25,0.25,0.25
104435,,0,1,0.5,0.5,0.5
104434,,0,1,0.5,0.5,0.5
102546,,0,1,0.25,0.25,0.25
104903,,1,1,8.405011574074074,8.405011574074074,8.405011574074074
103315,911213.0,1,1,6.75,6.75,6.75
104421,957274.0,0,1,0.25,0.25,0.25
106116,,1,1,6.98099537037037,6.98099537037037,6.98099537037037
102858,,0,1,0.25,0.25,0.25
106354,,1,1,8.583333333333334,8.583333333333334,8.583333333333334
100517,,0,1,2.000694444444445,2.000694444444445,2.000694444444445
107532,,0,1,1.25,1.25,1.25
107748,,1,1,0.25,0.25,0.25
108127,,1,1,6.5,6.5,6.5
102955,,1,1,3.5,3.5,3.5
108623,,0,1,0.25,0.25,0.25
103276,,0,1,0.25,0.25,0.25
100265,,1,1,0.25,0.25,0.25
110331,,0,1,0.25,0.25,0.25
103011,,0,1,0.25,0.25,0.25
104421,957275.0,0,1,0.4583333333333333,0.4583333333333333,0.4583333333333333
101973,,0,1,0.25,0.25,0.25
101055,,0,1,2.0,2.0,2.0
101426,,1,1,2.0,2.0,2.0
103607,,1,1,1.6666666666666667,1.6666666666666667,1.6666666666666667
103758,,1,1,0.5,0.5,0.5
103793,,0,1,0.25,0.25,0.25
103888,915272.0,0,1,0.25,0.25,0.25
103899,,1,1,0.25,0.25,0.25
101744,,1,1,2.0,2.0,2.0
101719,959440.0,1,1,2.0,2.0,2.0
101588,,1,1,0.25,0.25,0.25
102035,915733.0,0,1,3.75,3.75,3.75
103571,,0,1,2.25,2.25,2.25
104109,,1,1,0.5,0.5,0.5
101588,,0,1,0.25,0.25,0.25
101514,,1,1,0.25,0.25,0.25
101122,954979.0,0,1,0.25,0.25,0.25
103707,953766.0,1,1,6.5,6.5,6.5
104168,,0,1,0.25,0.25,0.25
104177,,0,1,5.25,5.25,5.25
104266,,1,1,0.25,0.25,0.25
103271,,0,1,1.0,1.0,1.0
103548,,0,1,0.25,0.25,0.25
103527,,1,1,0.25,0.25,0.25
104416,,0,1,0.25,0.25,0.25
103514,,1,1,3.4,3.4,3.4
102308,,0,1,0.25,0.25,0.25
104418,,1,1,0.25,0.25,0.25
104419,909936.0,0,1,0.25,0.25,0.25
104419,909936.0,1,1,0.25,0.25,0.25
104419,,0,1,0.5,0.5,0.5
104284,908002.0,0,1,0.25,0.25,0.25
