"VOYAGE_ID","CARGO_ID","COMMODITY_ID","BASELINE_TERM_ID","BASELINE_TERM_2_ID","LAYCAN_FROM","LAYCAN_TO","CARGO_QUANTITY","QUANTITY_OPTION_PCT","BOOKED_QUANTITY"
1809793,1809801,1130677,1038627,,06-APR-25,06-JUN-25,135000,0,135000
1809872,1809877,1130698,,,06-JUN-25,08-JUN-25,140000,0,140000
1810449,1810460,1130677,1038627,,06-APR-25,06-JUN-25,135000,0,135000
1811156,1811163,1130536,,,,,0,0,0
1833237,1833244,1130546,,,,,37000,0,37000
1834182,1834195,1038646,,,,,37000,0,37000
1834182,2052877,1038646,,,,,1000,0,1000
1840822,1840829,1130677,1038627,,14-JUL-25,15-JUL-25,130000,0,130000
1853953,1853966,1038646,,,16-MAR-25,18-MAR-25,37000,0,37000
1854438,1854451,1038646,,,16-MAR-25,18-MAR-25,37000,0,37000
1857423,1857432,1130677,1038627,,14-JUL-25,15-JUL-25,130000,0,130000
1858994,1859007,1038646,,,16-MAR-25,18-MAR-25,37000,0,37000
1866091,1866098,1130677,,,11-AUG-25,12-AUG-25,130000,0,130000
1876884,1876891,1130677,,,26-JUL-25,27-JUL-25,1450000,0,1450000
1878592,1878602,1130677,,,26-JUL-25,27-JUL-25,1450000,0,1450000
1892574,1892581,1130677,,,11-AUG-25,12-AUG-25,130000,0,130000
1893323,1893330,1130677,,,11-AUG-25,12-AUG-25,130000,0,130000
1893860,1893870,1130677,,,11-AUG-25,12-AUG-25,130000,0,130000
1905214,1905225,1038646,,,01-AUG-25,03-AUG-25,40000,0,40000
1905847,1905858,1038646,,,01-AUG-25,03-AUG-25,40000,0,40000
1909421,1909428,1130677,,,02-AUG-25,04-SEP-25,130000,0,130000
1914781,1914788,1130677,,,04-SEP-25,06-SEP-25,130000,0,130000
1915713,1915720,1130677,,,04-SEP-25,06-SEP-25,130000,0,130000
1922508,1922515,1130546,,,05-AUG-25,08-AUG-25,12000,0,12000
1923049,1923062,1130546,,,05-AUG-25,08-AUG-25,12000,0,12000
1923958,1923965,1130546,,,,,10000,0,10000
1924458,1924465,1130546,,,31-JUL-25,03-AUG-25,10000,0,10000
1925025,1925038,1130546,,,31-JUL-25,03-AUG-25,10000,0,10000
1926502,1926509,1130546,,,02-JUL-25,17-JUL-25,10000,0,10000
1927075,1927088,1130546,,,31-JUL-25,03-AUG-25,1000,0,10000
1927530,1927543,1130546,,,31-JUL-25,03-AUG-25,10000,0,10000
1941370,1941377,1130557,,,07-AUG-25,08-AUG-25,130000,0,130000
1946180,1946187,1130546,,,09-JUL-25,09-AUG-25,109000,0,109000
1946704,1946717,1130546,,,09-JUL-25,09-AUG-25,109000,0,109000
1951400,1951407,1130557,,,,,0,0,0
1959139,1959150,1038646,,,19-AUG-25,20-AUG-25,38000,0,38000
1976375,1976382,1038646,,,,,40000,0,40000
1976979,1976994,1130630,,,15-OCT-25,15-OCT-25,5000,0,5000
1988372,1988379,1038646,,,,,35000,0,35000
2003443,2003450,1130686,,,15-AUG-25,16-AUG-25,0,0,0
2007876,2007884,1130677,,,29-AUG-25,30-AUG-25,130000,0,130000
2008558,2008565,1519967,,,,,0,0,0
2009513,1095358,1038646,,,18-FEB-25,19-FEB-25,37000,0,37000
2011421,2011432,1130677,,,29-AUG-25,30-AUG-25,130000,0,130000
2012008,2012015,1130677,,,29-AUG-25,30-AUG-25,130000,0,130000
2022707,2022726,1130630,,,,,40000,0,40000
2025723,2025730,1038646,,,05-SEP-25,06-SEP-25,37000,0,37000
2027531,2027538,1038646,,,,,35000,0,35000
2028423,2028430,1038646,,,,,0,0,0
2029147,2029154,1038646,,,,,37000,0,37000
2039325,2039342,1130630,,,,,30000,0,30000
2039325,2041443,1130630,,,,,5000,0,5000
2060665,2060679,1038646,,,,,35000,0,35000
2061947,2061954,1038646,,,,,35000,0,35000
2063270,2063277,1038646,,,,,35000,0,35000
2064136,2064143,2029056,,,10-SEP-25,12-SEP-25,130000,0,130000
2065717,2065724,1038646,,,,,35000,0,35000
2069196,2069203,2029056,,,20-AUG-25,21-AUG-25,0,0,0
2070739,2070754,1038646,,,,,37000,0,37000
2075512,2075519,1130594,,,,,1000,0,1000
2076267,2076274,2029056,,,23-AUG-25,24-AUG-25,0,0,0
2076775,2076782,1130566,,,,,0,0,0
2077784,2077797,1130698,,,12-JUN-25,14-JUN-25,130000,0,130000
2078290,2078297,,,,13-AUG-25,14-AUG-25,0,0,0
2079402,2079409,1038646,,,,,35000,0,35000
2084991,2085009,1038646,,,,,35000,0,35000
2085779,2085797,1038646,,,,,35000,0,35000
2087156,2087163,1038646,,,,,0,0,0
2091829,2091836,1130677,,,,,0,0,0
2093055,2093062,1130677,,,,,0,0,0
2104964,2104971,1130546,,,,,20,0,20
2106353,2106360,,,,,,0,0,0
2108571,2108578,1038646,,,,,0,0,0
2109530,2109537,1038646,,,,,35000,0,35000
2119524,2119539,1038646,,,,,37000,0,37000
2121522,2121536,1130557,,,04-APR-25,14-APR-25,40000,0,40000
2123250,2123257,1038646,,,,,37000,0,37000
2123761,2123772,1130639,,,,,40000,0,40000
2128143,2128150,,,,,,0,0,0
2143065,2143072,,,,,,0,0,0
2145048,2145055,1038646,1038627,,,,35000,0,35000
2145486,2145493,1038646,,,,,0,0,0
2146381,2146393,1038646,1038627,,,,35000,0,35000
2152943,2152952,1038646,,,,,37000,0,37000
2153539,2153562,1130639,,,,,40000,0,40000
2155044,2155056,1038646,,,,,37000,0,37000
2155815,2155838,1130639,,,,,40000,0,40000
2174779,2174786,,,,,,130000,0,130000
2206280,2206287,1038646,,,03-SEP-25,04-SEP-25,37000,0,37000
2209892,2209907,1038646,1038627,,,,37000,0,37000
2212414,2212421,,,,,,0,0,0
