"VOYAGE_ID","VESSEL_ID","VOYAGE_START_TS","MILES_BALLAST","MILES_LOADED","MILES_TOTAL","SPEED_BALLAST","SPEED_LOADED","DAYS_AT_SEA","DAYS_IN_PORT_TOTAL","DAYS_TOTAL","DAYS_OFFHIRE","HAS_CANAL_PASSAGE","CANAL_COST","CANAL_1_ID","CANAL_2_ID","VOYAGE_STATUS","VESSEL_TYPE_ID"
2373236,1042784,24-NOV-22,3219.7507743976125,3180.434383826702,6400.1851582243145,13,13,21.539084667101058,0,27.039084667101058,0,0,0,,,"T",1038665
2210497,1042278,15-DEC-22,156.08559434678205,8401.016157418666,8557.10175176544805,13,13,50.525288107925256,0,54.525288107925256,0,0,0,,,"T",1038665
2757881,1042278,15-DEC-22,1634.9708725610087,4417.538636000647,6052.5095085616557,13,13,20.369022384582493,0,22.869022384582493,0,0,0,,,"T",1038665
2025723,1042278,15-DEC-22,0,3421.150584554204,3421.150584554204,13,13,11.513487544172804,0,12.013487544172804,0,0,0,,,"T",1038665
2646891,1042278,15-DEC-22,1634.9708725610087,1436.6359838170251,3071.6068563780338,13,13,10.337138458964537,0,10.837138458964537,0,0,0,,,"T",1038665
2646140,1042278,15-DEC-22,0,1293.0979452092993,1293.0979452092993,13,13,4.351771930992834,0,8.351771930992834,0,0,0,,,"T",1038665
1064616,1041237,24-JUN-23,4894,6845,11739,12.5,12.5,41.088622562384444,0,53.61243208619396,0,0,0,,,"P",1039859
1785171,1041237,24-JUN-23,4894.290339484522,6845.316106911035,11739.606446395557,12.5,12.5,41.088622562384444,0,75.04100351476539,0,0,0,,,"P",1039859
2881490,1041237,24-JUN-23,4894.290339484522,6845.316106911035,11739.606446395557,12.5,12.5,41.088622562384444,0,75.04100351476539,0,0,0,,,"P",1039859
2644968,1041237,24-JUN-23,4894.290339484522,6845.316106911035,11739.606446395557,12.5,12.5,41.088622562384444,0,75.04100351476539,0,0,0,,,"P",1039859
1760685,1041237,24-JUN-23,4894.290339484522,6845.316106911035,11739.606446395557,12.5,12.5,41.088622562384444,0,75.04100351476539,0,0,0,,,"P",1039859
2222532,1041237,24-JUN-23,4894.290339484522,6845.316106911035,11739.606446395557,12.5,12.5,41.088622562384444,0,75.04100351476539,0,0,0,,,"P",1039859
