"VOYAGE_ID","VESSEL_ID","VOYAGE_STATUS","ESTIMATED_VOYAGE_START_DATE","HAS_CANAL_PASSAGE","CANAL_COST","MILES_DIRECT","MILES_BALLAST","MILES_LOADED","DAYS_TOTAL_AT_SEA","DAYS_TOTAL_IN_PORT","DAYS_BALLAST","DAYS_LOADED","DAYS_WAITING","ORIGIN_PORT_ID","DEST_PORT_ID","RP_BALLAST_ID","RP_LOADED_ID","LAYCAN_START_UTC","LAYCAN_END_UTC"
1218581,1041307,"T",15-AUG-23,0,0,,4702.142641371842,4879.463508076253,32.24578992602724,0,15.824518504616776,16.421271421410466,0,103765,,,,05-JUN-25,11-JUN-25
1218926,1041307,"T",15-AUG-23,0,0,,4702.142641371842,4879.463508076253,32.24578992602724,0,15.824518504616776,16.421271421410466,0,103765,,,,07-JUL-25,13-JUL-25
1219275,1041307,"T",15-AUG-23,0,0,,4702.142641371842,4879.463508076253,32.24578992602724,0,15.824518504616776,16.421271421410466,0,103765,,,,09-AUG-25,15-AUG-25
1219628,1041307,"T",15-AUG-23,0,0,,4702.142641371842,4879.463508076253,32.24578992602724,0,15.824518504616776,16.421271421410466,0,103765,,,,10-SEP-25,16-SEP-25
1219985,1040826,"T",26-AUG-25,0,0,,4310.552243930596,4856.749746941201,30.85149802350361,0,14.506667144374566,16.34483087912904,0,101110,,,,13-OCT-25,19-OCT-25
1220347,1041307,"T",15-AUG-23,0,0,,4702.142641371842,4879.463508076253,32.24578992602724,0,15.824518504616776,16.421271421410466,0,103765,,,,14-NOV-25,20-NOV-25
1220714,1041307,"T",15-AUG-23,0,0,,4702.142641371842,4879.463508076253,32.24578992602724,0,15.824518504616776,16.421271421410466,0,103765,,,,17-DEC-25,23-DEC-25
1221085,1041307,"T",15-AUG-23,0,0,,4702.142641371842,4879.463508076253,32.24578992602724,0,15.824518504616776,16.421271421410466,0,103765,,,,18-JAN-26,24-JAN-26
1221460,1041307,"T",15-AUG-23,0,0,,4702.142641371842,4879.463508076253,32.24578992602724,0,15.824518504616776,16.421271421410466,0,103765,,,,20-FEB-26,26-FEB-26
1221839,1042668,"T",08-MAR-26,0,0,,1874.3562268869846,4879.463508076253,23.51116633690773,0,6.3079296097158135,17.203236727191918,9.35,101967,,,,24-MAR-26,30-MAR-26
1222852,1040617,"P",25-JAN-24,0,0,,4702.142641371842,4879.463508076253,32.24578992602724,0,15.824518504616776,16.421271421410466,0,103765,,,,01-APR-25,07-APR-25
1223491,1043366,"T",26-MAR-25,0,0,,3988.3636857807965,16369.11942713326,68.51076047615308,0,13.422377788685372,55.08838268746771,0,103436,,,,26-MAR-25,26-MAR-25
1224951,1043366,"T",26-MAR-25,0,0,,3988.3636857807965,16369.11942713326,68.51076047615308,0,13.422377788685372,55.08838268746771,0,103436,,,,26-MAR-25,26-MAR-25
1225691,1043366,"T",26-MAR-25,0,0,,3988.3636857807965,16369.11942713326,68.51076047615308,0,13.422377788685372,55.08838268746771,0,103436,,,,26-MAR-25,26-MAR-25
1256959,1042074,"T",03-MAY-25,0,0,,3616.4554321123833,9017.978952931848,45.062815973324426,0,12.898691041200834,32.16412493212359,10,102355,,,,22-APR-25,24-APR-25
1258771,1041542,"T",01-APR-25,0,0,,236.26655139045064,4298.882468177524,16.250950653451913,0,0.8466218091491148,15.404328844302796,20.758,102379,,,,23-APR-25,25-APR-25
