"VOYAGE_ID","N_CARGO_ROWS","N_UNIQUE_CARGO","TOTAL_CARGO_QUANTITY"
2730005,1,1,38000
2731532,1,1,38000
2732472,1,1,42000
2733212,1,1,38000
2734566,1,1,38000
2735626,1,1,42000
2739924,1,1,18000
2748132,2,2,31000
2752771,1,1,10000
2753390,1,1,35000
2754181,1,1,40000
2755288,1,1,0
2757881,1,1,35000
2763070,1,1,18000
2766263,1,1,145000
2774202,1,1,38000
2775420,1,1,38000
2805526,1,1,40000
2806438,1,1,40000
2808847,1,1,130000
2809903,1,1,130000
2828481,1,1,40000
2829215,1,1,38000
2855608,1,1,145000
2873702,1,1,130000
2874690,1,1,40000
2874769,1,1,38000
2874812,1,1,38000
2874857,1,1,40000
2874912,1,1,40000
2874953,2,2,50000
2875030,1,1,36002.312
2875127,1,1,40000
2875191,1,1,37000
2875219,1,1,40000
2875344,5,5,43920
2875516,1,1,42000
2875574,2,2,69700.44
2875663,1,1,35000
2875691,1,1,36940.47
2875736,2,2,80000
2875942,1,1,38000
2875987,2,2,80000
2876048,1,1,42000
2876101,1,1,35000
2876199,1,1,49950
2876306,1,1,37000
2876400,1,1,109000
2876471,1,1,10000
2876517,1,1,12000
2876551,1,1,10000
2876696,1,1,40000
2876775,1,1,38000
2876818,1,1,38000
2876927,1,1,42000
2876961,1,1,40000
2877016,1,1,40000
2877081,2,2,69700.44
2877154,2,2,50000
2877231,1,1,36002.312
2877304,1,1,35000
2877372,1,1,40000
2877436,1,1,37000
2877464,1,1,36940.47
2877501,1,1,40000
2877535,2,2,80000
2877709,5,5,43920
2877948,1,1,38000
2877993,2,2,80000
2878054,1,1,42000
2878107,1,1,35000
2878205,1,1,49950
2878312,1,1,37000
2878406,1,1,109000
2878477,1,1,10000
2878523,1,1,12000
2878557,1,1,10000
2879131,1,1,38000
2879255,1,1,40000
2879334,1,1,38000
2879377,1,1,38000
2879486,1,1,42000
2879520,1,1,40000
2879575,1,1,40000
2879640,2,2,69700.44
2879713,2,2,50000
2879790,1,1,36002.312
2879863,1,1,35000
2879931,1,1,40000
2879995,1,1,37000
2880023,1,1,36940.47
2880060,1,1,40000
2880094,2,2,80000
2880268,5,5,43920
2880507,1,1,38000
2880552,2,2,80000
2880613,1,1,42000
2880714,1,1,36002.312
2880795,1,1,35000
2880893,1,1,49950
2881000,1,1,37000
