fleet_plan_key,vessel_key,voyage_key,sequence,start,end,duration_days,laycan_start,laycan_end
1013798,1042784,1927075,1,2025-07-31 00:00:00,2025-09-05 21:57:07,36.91465888955311,2025-07-31,2025-08-03
1013798,1042784,2805526,2,2025-09-06 00:00:00,2025-09-08 23:05:51,2.9623989678002527,2025-09-06,2025-09-06
1013798,1043022,3113897,1,2025-07-12 00:00:00,2025-07-30 19:02:33,18.79343993499121,2025-07-12,2025-07-12
1013798,1043108,1441884,1,2025-05-03 00:00:00,2025-06-04 07:47:35,32.324705991216874,2025-05-03,2025-05-03
1013798,1043108,1641798,2,2025-06-06 00:00:00,2025-07-28 20:03:19,52.8356381249102,2025-06-06,2025-06-08
1013798,1043108,1646701,3,2025-07-28 20:03:16,2025-10-10 21:40:49,74.06773975558656,2025-06-20,
1013798,1043280,1053497,1,2025-01-24 00:00:00,2025-01-31 04:18:30,7.179508709834159,2022-01-30,2022-01-30
1013798,1043280,1070479,2,2025-01-31 04:18:29,2025-03-10 09:23:10,38.21158744290898,2022-08-30,2022-08-30
1013798,1043280,2025146,3,2025-03-10 09:23:11,2025-04-12 20:09:45,33.44900410012152,2022-10-26,2022-10-26
1013798,1043280,2145048,4,2025-04-12 20:09:45,2025-05-06 07:14:34,23.461677544030508,2022-11-01,2022-11-01
1013798,1043280,2757881,5,2025-05-06 07:14:36,2025-05-28 07:37:09,22.015658015839083,2022-12-15,2022-12-15
1013798,1043280,1050535,6,2025-05-28 07:37:03,2025-07-09 01:55:05,41.7625223833179,2023-06-24,2023-06-24
1013798,1043280,1061928,7,2025-07-09 01:55:12,2025-07-16 05:48:19,7.1618907124741975,2023-12-09,2023-12-09
1013798,1043280,1270270,8,2025-07-16 05:48:12,2025-08-05 17:16:19,20.477853943553544,2024-03-08,2024-03-08
1013798,1043280,1282433,9,2025-08-05 17:16:22,2025-09-16 13:41:57,41.85109821825834,2024-03-28,2024-03-28
1013798,1043280,1054664,10,2025-09-16 13:41:57,2025-11-21 21:10:24,66.31141835668579,2025-01-29,2025-01-29
1013798,1043488,2730005,1,2025-09-25 00:00:00,2025-10-23 08:48:17,28.366857909473072,2025-09-25,2025-09-26
1013798,1043540,1396573,1,2025-03-09 00:00:00,2025-03-22 11:55:43,13.497022262177241,2025-03-09,2025-03-10
1013798,1650272,1876884,1,2025-07-26 00:00:00,2025-08-02 13:05:39,7.545586892667114,2025-07-26,2025-07-27
1013798,1650272,1924458,2,2025-08-02 13:05:40,2025-08-14 09:11:08,11.837133851832656,2025-07-31,2025-08-03
1013798,1650272,2012008,3,2025-08-29 00:00:00,2025-09-10 10:13:08,12.425782906676368,2025-08-29,2025-08-30
1013798,1651778,1652137,1,2025-06-18 00:00:00,2025-07-19 16:01:51,31.66795052139619,2025-06-18,2025-06-20
1013798,1668130,2662321,1,2025-09-24 00:00:00,2025-10-08 07:52:27,14.328089677837736,2025-09-24,2025-09-26
1013798,1669802,2639324,1,2025-08-23 00:00:00,2025-10-21 18:41:32,59.7788439682007,2025-08-23,2025-08-24
1013798,1832345,2008558,1,2025-08-01 00:00:00,2025-10-03 20:07:36,63.83861328179331,2025-08-01,2025-08-01
1013798,1832345,1922508,2,2025-10-03 20:07:35,2025-10-14 17:40:21,10.89775805889266,2025-08-05,2025-08-08
1013798,1832345,3068424,3,2025-10-14 17:40:25,2025-11-21 07:03:51,37.55794118658374,2025-09-17,2025-09-17
